# Expected Day-9 scalability-consistency projection — snapshot from commit adb65a7.
# Columns: family,n,events,model,verdict  (timing/memory/minwitness columns dropped).
# Verdicts are budget-independent and deterministic; this is what reproduce.sh diffs.
LBChain,2,6,SC,FORBIDDEN
LBChain,2,6,TSO,FORBIDDEN
LBChain,2,6,WEAKEST,FORBIDDEN
LBChain,3,9,PSO,FORBIDDEN
LBChain,3,9,RA,ALLOWED
LBChain,3,9,SC,FORBIDDEN
LBChain,3,9,TSO,FORBIDDEN
LBChain,3,9,WEAKEST,FORBIDDEN
LBChain,4,12,PSO,FORBIDDEN
LBChain,4,12,RA,ALLOWED
LBChain,4,12,SC,FORBIDDEN
LBChain,4,12,TSO,FORBIDDEN
LBChain,4,12,WEAKEST,FORBIDDEN
LBChain,5,15,PSO,FORBIDDEN
LBChain,5,15,RA,ALLOWED
LBChain,5,15,SC,FORBIDDEN
LBChain,5,15,TSO,FORBIDDEN
LBChain,5,15,WEAKEST,FORBIDDEN
LBChain,6,18,PSO,FORBIDDEN
LBChain,6,18,RA,ALLOWED
LBChain,6,18,SC,FORBIDDEN
LBChain,6,18,TSO,FORBIDDEN
LBChain,6,18,WEAKEST,FORBIDDEN
LBChain,8,24,PSO,FORBIDDEN
LBChain,8,24,RA,ALLOWED
LBChain,8,24,SC,FORBIDDEN
LBChain,8,24,TSO,FORBIDDEN
LBChain,8,24,WEAKEST,FORBIDDEN
LBFakeChain,10,30,PSO,FORBIDDEN
LBFakeChain,10,30,RA,ALLOWED
LBFakeChain,10,30,SC,FORBIDDEN
LBFakeChain,10,30,TSO,FORBIDDEN
LBFakeChain,10,30,WEAKEST,ALLOWED
LBFakeChain,12,36,PSO,FORBIDDEN
LBFakeChain,12,36,RA,ALLOWED
LBFakeChain,12,36,SC,FORBIDDEN
LBFakeChain,12,36,TSO,FORBIDDEN
LBFakeChain,12,36,WEAKEST,ALLOWED
LBFakeChain,16,48,PSO,FORBIDDEN
LBFakeChain,16,48,RA,ALLOWED
LBFakeChain,16,48,SC,FORBIDDEN
LBFakeChain,16,48,TSO,FORBIDDEN
LBFakeChain,16,48,WEAKEST,ALLOWED
LBFakeChain,2,6,PSO,FORBIDDEN
LBFakeChain,2,6,RA,ALLOWED
LBFakeChain,2,6,SC,FORBIDDEN
LBFakeChain,2,6,TSO,FORBIDDEN
LBFakeChain,2,6,WEAKEST,ALLOWED
LBFakeChain,3,9,PSO,FORBIDDEN
LBFakeChain,3,9,RA,ALLOWED
LBFakeChain,3,9,SC,FORBIDDEN
LBFakeChain,3,9,TSO,FORBIDDEN
LBFakeChain,3,9,WEAKEST,ALLOWED
LBFakeChain,4,12,PSO,FORBIDDEN
LBFakeChain,4,12,RA,ALLOWED
LBFakeChain,4,12,SC,FORBIDDEN
LBFakeChain,4,12,TSO,FORBIDDEN
LBFakeChain,4,12,WEAKEST,ALLOWED
LBFakeChain,5,15,PSO,FORBIDDEN
LBFakeChain,5,15,RA,ALLOWED
LBFakeChain,5,15,SC,FORBIDDEN
LBFakeChain,5,15,TSO,FORBIDDEN
LBFakeChain,5,15,WEAKEST,ALLOWED
LBFakeChain,6,18,PSO,FORBIDDEN
LBFakeChain,6,18,RA,ALLOWED
LBFakeChain,6,18,SC,FORBIDDEN
LBFakeChain,6,18,TSO,FORBIDDEN
LBFakeChain,6,18,WEAKEST,ALLOWED
LBFakeChain,8,24,PSO,FORBIDDEN
LBFakeChain,8,24,RA,ALLOWED
LBFakeChain,8,24,SC,FORBIDDEN
LBFakeChain,8,24,TSO,FORBIDDEN
LBFakeChain,8,24,WEAKEST,ALLOWED
SBNThread,10,30,PSO,ALLOWED
SBNThread,10,30,RA,ALLOWED
SBNThread,10,30,SC,FORBIDDEN
SBNThread,10,30,TSO,ALLOWED
SBNThread,10,30,WEAKEST,ALLOWED
SBNThread,12,36,PSO,ALLOWED
SBNThread,12,36,RA,ALLOWED
SBNThread,12,36,SC,FORBIDDEN
SBNThread,12,36,TSO,ALLOWED
SBNThread,12,36,WEAKEST,ALLOWED
SBNThread,16,48,PSO,ALLOWED
SBNThread,16,48,RA,ALLOWED
SBNThread,16,48,SC,FORBIDDEN
SBNThread,16,48,TSO,ALLOWED
SBNThread,16,48,WEAKEST,ALLOWED
SBNThread,2,6,PSO,ALLOWED
SBNThread,2,6,RA,ALLOWED
SBNThread,2,6,SC,FORBIDDEN
SBNThread,2,6,TSO,ALLOWED
SBNThread,2,6,WEAKEST,ALLOWED
SBNThread,3,9,PSO,ALLOWED
SBNThread,3,9,RA,ALLOWED
SBNThread,3,9,SC,FORBIDDEN
SBNThread,3,9,TSO,ALLOWED
SBNThread,3,9,WEAKEST,ALLOWED
SBNThread,4,12,PSO,ALLOWED
SBNThread,4,12,RA,ALLOWED
SBNThread,4,12,SC,FORBIDDEN
SBNThread,4,12,TSO,ALLOWED
SBNThread,4,12,WEAKEST,ALLOWED
SBNThread,5,15,PSO,ALLOWED
SBNThread,5,15,RA,ALLOWED
SBNThread,5,15,SC,FORBIDDEN
SBNThread,5,15,TSO,ALLOWED
SBNThread,5,15,WEAKEST,ALLOWED
SBNThread,6,18,PSO,ALLOWED
SBNThread,6,18,RA,ALLOWED
SBNThread,6,18,SC,FORBIDDEN
SBNThread,6,18,TSO,ALLOWED
SBNThread,6,18,WEAKEST,ALLOWED
SBNThread,8,24,PSO,ALLOWED
SBNThread,8,24,RA,ALLOWED
SBNThread,8,24,SC,FORBIDDEN
SBNThread,8,24,TSO,ALLOWED
SBNThread,8,24,WEAKEST,ALLOWED
